statement,response
Malaria is transmitted through bites from infected female Anopheles mosquitoes,Reliable
Drinking salt water can cure malaria,Misleading
Vaccines help prevent infectious diseases,Reliable
Antibiotics cure all viral infections,Misleading
Regular handwashing reduces disease transmission,Reliable
Diabetes can be permanently cured with one herbal drink,Misleading
Pregnant women should attend antenatal care visits,Reliable
COVID-19 vaccines contain tracking microchips,Misleading
Sleeping under insecticide-treated nets helps prevent malaria,Reliable
Taking extra antibiotics speeds up recovery from any illness,Misleading
High blood pressure can increase the risk of stroke,Reliable
Herbal mixtures can replace all prescribed medications,Misleading
Exclusive breastfeeding is recommended for the first six months,Reliable
Every fever automatically means malaria,Misleading
Safe drinking water reduces the risk of diarrhoea diseases,Reliable
Malaria can be diagnosed using laboratory tests,Reliable
Mixing multiple antimalarial drugs is always safer,Misleading
Physical exercise contributes to good health,Reliable
Vaccines cause infertility in women,Misleading
Proper sanitation helps prevent disease outbreaks,Reliable
Antibiotic misuse contributes to drug resistance,Reliable
Traditional herbs can cure every type of cancer,Misleading
Early medical diagnosis improves treatment outcomes,Reliable
Self-medication is always safe if symptoms seem mild,Misleading
Tuberculosis is a contagious disease,Reliable
Drinking alcohol can kill viruses inside the body,Misleading
Health information should be verified using trusted medical sources,Reliable
Hypertension often has no obvious symptoms,Reliable
Garlic can completely cure HIV/AIDS,Misleading
Consulting qualified healthcare professionals improves patient safety,Reliable
